,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity,num_family_name_google_scholar_results,num_family_name_cited_by_in_first_20_results,num_family_name_google_search_results
0,0,0,0,7196,1048,21575,2,0,0,26,Archaeognatha,2,1,0.0,0.0,2390,388,112000
1,1,1,1,151469,6487,29757,1,9,1,32,Blaberidae,15,3,0.05333333333333334,0.09237604307034013,3880,784,160000
2,2,2,2,0,0,0,0,0,0,0,Ectobiidae,0,0,,,786,106,62000
3,3,3,3,375846,7042,8119,1,4,0,10,Blattidae,12,5,0.125,0.2331844763272204,11300,1065,277000
4,4,4,4,30854,1232,255,0,0,0,0,Cryptocercidae,1,0,,,1190,756,17900
5,5,5,5,28,10,4,0,0,0,0,Nocticolidae,1,1,0.0,0.0,256,259,8410
6,6,6,6,0,0,0,0,0,0,0,Corydiidae,0,0,,,310,137,9000
7,7,7,7,0,0,0,0,0,0,0,Amphizoidae,0,0,,,954,404,55100
8,8,8,8,38,215,34,0,0,0,3,Aspidytidae,1,1,0.0,0.0,339,343,7430
9,9,9,9,1362038,81976,361260,129,61,15,885,Carabidae,113,81,0.16331606964708814,0.226270683573969,131000,8107,1540000
10,10,10,10,649415,23883,66522,32,21,5,270,Dytiscidae,33,27,0.1677235316124205,0.26472546233414834,25700,2859,465000
11,11,11,11,25520,3575,23347,12,5,2,133,Gyrinidae,10,7,0.03609976333190619,0.14278334608313395,10900,829,201000
12,12,12,12,7629,646,547,1,0,0,26,Haliplidae,3,2,0.5681818181818181,0.6106831292065638,7960,429,130000
13,13,13,13,0,0,0,0,0,0,0,Hygrobiidae,0,0,,,2110,749,37100
14,14,14,14,72,92,13,0,0,0,0,Noteridae,1,1,1.0,0.0,4680,557,96800
15,15,15,15,0,0,0,0,0,0,0,Trachypachidae,0,0,,,1640,720,32400
16,16,16,16,0,0,0,0,0,0,0,Cupedidae,0,0,,,891,418,126000
17,17,17,17,0,0,0,0,0,0,0,Micromalthidae,0,0,,,477,283,20400
18,18,18,18,0,0,0,0,0,0,0,Ommatidae,0,0,,,319,324,10600
19,19,19,19,16161,1197,4680,16,0,2,40,Lepiceridae,4,4,0.08920454545454548,0.07814514203160995,230,297,7760
20,20,20,20,24836,1712,1240,17,1,3,55,Hydroscaphidae,4,1,0.13636363636363635,0.0,747,327,21200
21,21,21,21,12245,1018,649,0,0,0,7,Sphaeriusidae,2,0,,,444,134,18400
22,22,22,22,11885,466,251,0,0,0,0,Torridincolidae,1,0,,,356,286,16400
23,23,23,23,0,0,0,0,0,0,0,Aderidae,0,0,,,1130,153,158000
24,24,24,24,0,0,0,0,0,0,0,Agyrtidae,0,0,,,900,304,28000
25,25,25,25,0,0,0,0,0,0,0,Alexiidae,0,0,,,186,588,15600
26,26,26,26,420436,6354,50351,0,3,0,38,Anobiidae,10,4,0.12083333333333332,0.12720281268728126,10400,1402,291000
27,27,27,27,19490,907,1652,0,2,0,4,Anthicidae,2,2,0.0875,0.30052038200428266,5030,344,252000
28,28,28,28,200166,7858,24384,17,4,3,118,Anthribidae,13,10,0.09333333333333332,0.24129281427805144,5310,733,244000
