,Unnamed: 0,Unnamed: 0.1,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,commonName,num_google_scholar_results,num_cited_by_in_first_20_results,num_common_name_google_search_results,num_scientific_name_google_search_results,absolute_frequency_of_scientific_name_in_books,num_books_containing_scientific_name,absolute_frequency_of_common_name_in_books,num_books_containing_common_name
0,0,0,510761,12953,Megalagrion jugorum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,jugorum,,,,"(Perkins, 1899)",Critically Endangered,B1ab(iii),3.1,Unknown,Global,Maui Upland Damselfly,9,722,201.0,1060,0,0,0,0
1,1,1,510839,12958,Megalagrion oceanicum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,oceanicum,,,,"McLachlan, 1883",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,Oceanic Hawaiian Damselfly,26,956,893.0,1480,0,0,0,0
2,2,2,510946,12959,Megalagrion pacificum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,pacificum,,,,"(McLachlan, 1883)",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,Pacific Hawaiian Damselfly,52,355,1830.0,1290,0,0,0,0
3,3,3,511063,12960,Megalagrion xanthomelas,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,xanthomelas,,,,"(Selys, 1876)",Endangered,"B2ab(ii,iii)",3.1,Unknown,Global,Orangeblack Hawaiian Damselfly,107,264,1220.0,3240,0,0,0,0
4,4,4,511184,12961,Megalagrion oahuense,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,oahuense,,,,"(Blackburn, 1884)",Vulnerable,D2,3.1,Unknown,Global,Oahu Damselfly,49,381,278.0,1120,0,0,0,0
5,5,5,519366,137066,Catharsius rhinoceros,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Catharsius,rhinoceros,,,,"Klug, 1855",Data Deficient,,3.1,Unknown,Global,,1,0,,154,0,0,0,0
6,6,6,519435,137070,Deltochilum icarus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Deltochilum,icarus,,,,"(Olivier, 1789)",Least Concern,,3.1,Unknown,Global,,19,358,,924,0,0,0,0
7,7,7,519463,137072,Copris victorini,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,victorini,,,,"Boheman, 1857",Data Deficient,,3.1,Unknown,Global,,0,0,,241,0,0,0,0
8,8,8,519491,137074,Paraphytus africanus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Paraphytus,africanus,,,,"Boucomont, 1923",Data Deficient,,3.1,Unknown,Global,,2,3,,183,0,0,0,0
9,9,9,519505,137075,Coptorhina nitefacta,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Coptorhina,nitefacta,,,,"Gillet, 1932",Data Deficient,,3.1,Unknown,Global,,1,18,,114,0,0,0,0
10,10,10,519628,137079,Anomiopus parallelus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Anomiopus,parallelus,,,,"(Harold, 1862)",Least Concern,,3.1,Unknown,Global,,3,5,,237,0,0,0,0
11,11,11,519642,137080,Cheironitis indicus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Cheironitis,indicus,,,,"Lansberge, 1875",Data Deficient,,3.1,Unknown,Global,,5,24,,176,0,0,0,0
12,12,12,519678,137083,Ateuchus latus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Ateuchus,latus,,,,"(Boucomont, 1928)",Least Concern,,3.1,Unknown,Global,,4,19,,221,0,0,0,0
13,13,13,519692,137084,Onthophagus manya,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,manya,,,,"Matthews, 1972",Least Concern,,3.1,Unknown,Global,,0,0,,333,0,0,0,0
14,14,14,519714,137086,Canthidium calidum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,calidum,,,,"Harold, 1880",Data Deficient,,3.1,Unknown,Global,,0,0,,262,0,0,0,0
15,15,15,519862,137094,Onitis parvulus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onitis,parvulus,,,,"Balthasar, 1963",Data Deficient,,3.1,Unknown,Global,,3,8,,217,0,0,0,0
16,16,16,519876,137095,Canthon divinator,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,divinator,,,,"Gistel, 1857",Data Deficient,,3.1,Unknown,Global,,0,0,,300,0,0,0,0
17,17,17,519904,137097,Coptodactyla lesnei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Coptodactyla,lesnei,,,,"Paulian, 1933",Least Concern,,3.1,Unknown,Global,,6,257,,166,0,0,0,0
18,18,18,519918,137098,Onitis granulisetosus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onitis,granulisetosus,,,,"Ferreira, 1976",Least Concern,,3.1,Unknown,Global,,1,9,,170,0,0,0,0
19,19,19,519932,137099,Anomiopus bonariensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Anomiopus,bonariensis,,,,"(Bruch, 1925)",Least Concern,,3.1,Unknown,Global,,2,66,,308,0,0,0,0
20,20,20,519946,137100,Cryptocanthon nebulinus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Cryptocanthon,nebulinus,,,,"Howden, 1973",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global,,2,54,,263,0,0,0,0
21,21,21,519968,137103,Scarabaeus namibicus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,namibicus,,,,"Krajcik, 2006",Least Concern,,3.1,Unknown,Global,,0,0,,132,0,0,0,0
22,22,22,520010,137106,Anisocanthon pygmaeus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Anisocanthon,pygmaeus,,,,"(Gillet, 1911)",Data Deficient,,3.1,Unknown,Global,,1,0,,278,0,0,0,0
23,23,23,520024,137107,Heliocopris faunus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Heliocopris,faunus,,,,"Boheman, 1857",Least Concern,,3.1,Unknown,Global,,7,120,,316,0,0,0,0
24,24,24,520038,137108,Ateuchus euchalceus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Ateuchus,euchalceus,,,,"(Balthasar, 1939)",Data Deficient,,3.1,Unknown,Global,,0,0,,142,0,0,0,0
25,25,25,520080,137111,Dichotomius schiffleri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,schiffleri,,,,"Vaz-de-Mello &amp; Louzada &amp; Gavino, 2001",Endangered,B2ab(iii),3.1,Unknown,Global,,37,130,,1180,0,0,0,0
26,26,26,520094,137112,Canthidium luteum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,luteum,,,,"Balthasar, 1939",Data Deficient,,3.1,Unknown,Global,,5,21,,252,0,0,0,0
27,27,27,520178,137118,Canthon gemellatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,gemellatus,,,,"Erichson, 1847",Data Deficient,,3.1,Unknown,Global,,9,94,,371,0,0,0,0
28,28,28,520192,137119,Onthophagus lamgalio,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,lamgalio,,,,"Matthews, 1972",Data Deficient,,3.1,Unknown,Global,,1,0,,218,0,0,0,0
29,29,29,520220,137121,Scatonomus xanthopygus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scatonomus,xanthopygus,,,,"Pereira, 1954",Data Deficient,,3.1,Unknown,Global,,0,0,,19,0,0,0,0
30,30,30,520234,137122,Epirinus gratus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Epirinus,gratus,,,,"Péringuey, 1901",Least Concern,,3.1,Unknown,Global,,6,426,,197,0,0,0,0
