,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
0,7196,1048,21575,2,0,0,26,Archaeognatha
1,151469,6487,29757,1,9,1,32,Blaberidae
2,0,0,0,0,0,0,0,Ectobiidae
3,375846,7042,8119,1,4,0,10,Blattidae
4,30854,1232,255,0,0,0,0,Cryptocercidae
5,28,10,4,0,0,0,0,Nocticolidae
6,0,0,0,0,0,0,0,Corydiidae
7,0,0,0,0,0,0,0,Amphizoidae
8,38,215,34,0,0,0,3,Aspidytidae
9,1362038,81976,361260,129,61,15,885,Carabidae
10,649415,23883,66522,32,21,5,270,Dytiscidae
11,25520,3575,23347,12,5,2,133,Gyrinidae
12,7629,646,547,1,0,0,26,Haliplidae
13,0,0,0,0,0,0,0,Hygrobiidae
14,72,92,13,0,0,0,0,Noteridae
15,0,0,0,0,0,0,0,Trachypachidae
16,0,0,0,0,0,0,0,Cupedidae
17,0,0,0,0,0,0,0,Micromalthidae
18,0,0,0,0,0,0,0,Ommatidae
19,16161,1197,4680,16,0,2,40,Lepiceridae
20,24836,1712,1240,17,1,3,55,Hydroscaphidae
21,12245,1018,649,0,0,0,7,Sphaeriusidae
22,11885,466,251,0,0,0,0,Torridincolidae
23,0,0,0,0,0,0,0,Aderidae
24,0,0,0,0,0,0,0,Agyrtidae
25,0,0,0,0,0,0,0,Alexiidae
26,420436,6354,50351,0,3,0,38,Anobiidae
27,19490,907,1652,0,2,0,4,Anthicidae
28,200166,7858,24384,17,4,3,118,Anthribidae
29,0,0,0,0,0,0,0,Artematopodidae
30,87336,4285,11998,0,2,0,6,Attelabidae
31,178789,8574,10078,0,3,0,3,Belidae
32,0,0,0,0,0,0,0,Biphyllidae
33,0,0,0,0,0,0,0,Boridae
34,7197,2,136,0,0,0,0,Bostrichidae
35,360,552,398,0,0,1,39,Bothrideridae
36,0,0,0,0,0,0,0,Brachyceridae
37,112392,3795,21432,25,4,1,141,Brentidae
38,970751,13536,181102,22,17,2,199,Buprestidae
39,10168,1989,4925,0,1,0,6,Byrrhidae
40,37980,2583,2538,1,0,0,6,Byturidae
41,0,0,0,0,0,0,0,Callirhipidae
42,846051,12304,48057,10,7,1,35,Cantharidae
43,21124,55,154,0,0,0,0,Cephaloidae
44,2906417,63967,1214306,214,115,16,2275,Cerambycidae
45,0,0,0,0,0,0,0,Ceratocanthidae
46,720,1104,796,2,1,0,47,Cerylonidae
47,0,0,0,0,0,0,0,Chelonariidae
48,1254388,79536,600431,173,61,20,1132,Chrysomelidae
49,3000,3624,4074,4,2,0,31,Ciidae
50,6764,516,688,0,0,0,3,Clambidae
51,164710,7550,12080,13,8,1,138,Cleridae
52,6945660,114285,785329,98,61,16,721,Coccinellidae
53,8410,3809,4913,2,4,0,9,Corylophidae
54,32755,3601,4842,2,4,1,10,Cryptophagidae
55,7882,550,895,0,0,0,0,Cucujidae
56,4429415,31621,509066,129,41,19,907,Curculionidae
57,0,0,0,0,0,0,0,Dascillidae
58,266846,16416,68571,6,10,0,26,Dermestidae
59,0,0,0,0,0,0,0,Derodontidae
60,0,0,0,0,0,0,0,Discolomatidae
61,2332,1014,1869,0,1,0,4,Drilidae
62,0,0,0,0,0,0,0,Dryopidae
63,385010,22911,335901,22,33,4,418,Elateridae
64,34936,2517,1814,3,0,0,79,Elmidae
65,16332,4469,9726,53,5,9,254,Endomychidae
66,0,0,0,0,0,0,0,Epimetopidae
67,194696,5998,118517,22,11,2,226,Erotylidae
68,0,0,0,0,0,0,0,Eucinetidae
69,6930,1432,1849,0,1,0,4,Eucnemidae
70,0,0,0,0,0,0,0,Eulichadidae
71,360,552,398,0,0,0,7,Georissidae
72,84810,6944,9337,6,7,1,48,Geotrupidae
73,0,0,0,0,0,0,0,Glaphyridae
74,0,0,0,0,0,0,0,Glaresidae
75,0,0,0,0,0,0,0,Helophoridae
76,1188,109,555,0,0,0,2,Helotidae
77,13961,518,824,0,0,0,1,Heteroceridae
78,96390,5526,12921,1,10,2,34,Histeridae
79,8268,2325,3885,20,1,5,113,Hybosoridae
80,6863,1102,3027,1,0,0,14,Hydraenidae
81,6116,964,2880,0,0,0,13,Hydrochidae
82,226368,11623,49488,13,4,2,138,Hydrophilidae
83,0,0,0,0,0,0,0,Ithyceridae
84,7197,2,136,0,0,0,0,Kateretidae
85,7197,2,136,0,0,0,0,Laemophloeidae
86,1838319,48012,128451,63,156,4,436,Lampyridae
87,0,0,0,0,0,0,0,Languriidae
88,30461,5645,4168,0,4,0,17,Latridiidae
89,52665,8065,13362,8,2,0,20,Leiodidae
90,7917,1106,932,1,0,0,15,Limnichidae
91,4041043,50988,91142,317,126,16,910,Lucanidae
92,0,0,0,0,0,0,0,Lutrochidae
93,3761899,30715,110096,53,45,6,655,Lycidae
94,7197,2,136,0,0,0,0,Lymexylidae
95,0,0,0,0,0,0,0,Mauroniscidae
96,0,0,0,0,0,0,0,Melandryidae
97,257888,12598,118203,37,16,6,406,Meloidae
98,29716,5096,18513,2,1,0,44,Melyridae
99,3229202,277628,525801,29,195,7,723,Monotomidae
100,63226,475,3194,0,1,0,1,Mordellidae
101,35320,3616,8185,2,1,0,17,Mycetophagidae
102,54864,809,7434,0,0,0,1,Nemonychidae
103,163920,11217,37741,27,13,0,157,Nitidulidae
104,0,0,0,0,0,0,0,Nosodendridae
105,0,0,0,0,0,0,0,Ochodaeidae
106,55981,5052,5028,2,5,0,29,Oedemeridae
107,0,0,0,0,0,0,0,Omalisidae
108,0,0,0,0,0,0,0,Omethidae
109,0,0,0,0,0,0,0,Orsodacnidae
110,12617,3071,2618,0,1,0,0,Passalidae
111,0,0,0,0,0,0,0,Passandridae
112,0,0,0,0,0,0,0,Perimylopidae
113,77054,2206,5985,0,4,0,0,Phalacridae
114,154261,13541,128175,990,46,108,4421,Phengodidae
115,0,0,0,0,0,0,0,Phloeostichidae
116,0,0,0,0,0,0,0,Phloiophilidae
117,395,71,21,0,0,0,0,Pleocomidae
118,430,640,626,1,0,1,23,Prionoceridae
119,0,0,0,0,0,0,0,Propalticidae
120,0,0,0,0,0,0,0,Prostomidae
121,0,0,0,0,0,0,0,Protocucujidae
122,226,410,229,0,0,0,0,Psephenidae
123,42200,2410,8686,13,3,2,41,Ptiliidae
124,0,0,0,0,0,0,0,Ptilodactylidae
125,46573,5248,14127,6,7,2,42,Ptinidae
126,111965,3196,3253,0,3,0,7,Pyrochroidae
127,7197,2,136,0,0,0,0,Pythidae
128,0,0,0,0,0,0,0,Rhipiceridae
129,720,1104,796,9,0,3,56,Ripiphoridae
130,0,0,0,0,0,0,0,Salpingidae
131,1945725,50353,320522,522,61,43,1952,Scarabaeidae
132,67124,1873,7520,0,2,0,3,Scirtidae
133,12836,1216,2617,0,2,0,1,Scraptiidae
134,0,0,0,0,0,0,0,Scydmaenidae
135,681352,48487,78639,48,25,7,268,Silphidae
136,17827,1101,1063,2,0,0,15,Silvanidae
137,0,0,0,0,0,0,0,Spercheidae
138,0,0,0,0,0,0,0,Sphaeritidae
139,2640,3072,3676,2,1,0,3,Sphindidae
140,1007541,63083,490826,112,78,16,1392,Staphylinidae
141,0,0,0,0,0,0,0,Synchroidae
142,421242,13234,264122,65,23,9,445,Tenebrionidae
143,7197,2,136,0,0,0,0,Tetratomidae
144,5568,681,1025,0,1,0,0,Throscidae
145,7197,2,136,0,0,0,0,Trictenotomidae
146,19474,288,88,0,3,0,14,Trogossitidae
147,37872,244,83168,6,3,0,33,Zopheridae
148,0,0,0,0,0,0,0,Bourletiellidae
149,0,0,0,0,0,0,0,Brachystomellidae
150,2404,149,140,0,0,0,1,Dicyrtomidae
151,103781,6949,11221,1,4,0,13,Entomobryidae
152,625,540,149,0,1,0,1,Hypogastruridae
