,internalTaxonId,scientificName,name,language,main
1,132523146,Hubbsina turneri,Highland Splitfin,English,True
3,10767,Ictalurus australis,Panuco Catfish,English,True
5,10769,Ictalurus mexicanus,Rio Verde Catfish,English,True
7,10803,Iguanognathus werneri,Spatula-toothed Snake,English,True
9,132521900,Ilyodon whitei,Balsas Splitfin,English,True
10,11150,Lagocephalus gloveri,Brown-backed Toadfish,English,True
15,1117,Ameca splendens,Butterfly Splitfin,English,True
22,11200,Lamna nasus,Porbeagle,English,True
26,11249,Lampsilis abrupta,Pink Mucket,English,True
28,11250,Hamiota altilis,Finelined Pocketbook,English,True
29,11256,Obovaria haddletoni,Haddleton Lampmussel,English,True
30,11257,Lampsilis ornata,Southern Pocketbook,English,True
31,11263,Lampsilis splendida,Rayed Pink Fatmucket,English,True
36,11481,Lemmus lemmus,Norway Lemming,English,True
38,11785,Leptoxis taeniata,Painted Rocksnail,English,True
41,11797,Lepus castroviejoi,Broom Hare,English,True
44,11922,Pleuronaia dolabelloides,Slab-sided Pearly Mussel,English,True
50,12137,Lithognathus lithognathus,White Steenbras,English,True
52,12395,Lucania interioris,Cuatrocienegas Killifish,English,True
64,12417,Lutjanus cyanopterus,Cubera Snapper,English,True
67,12695,Malaclemys terrapin,Diamondback Terrapin,English,True
76,12696,Malacochersus tornieri,Pancake Tortoise,English,True
78,12800,Margaritifera marrianae,Alabama Pearlshell,English,True
82,12835,Marmota marmota,Alpine Marmot,English,True
83,12927,Medionidus parvulus,Coosa Moccasinshell,English,True
84,12930,Medionidus walkeri,Suwannee Moccasinshell,English,True
85,12953,Megalagrion jugorum,Maui Upland Damselfly,English,True
86,12958,Megalagrion oceanicum,Oceanic Hawaiian Damselfly,English,True
87,12959,Megalagrion pacificum,Pacific Hawaiian Damselfly,English,True
88,12960,Megalagrion xanthomelas,Orangeblack Hawaiian Damselfly,English,True
89,12961,Megalagrion oahuense,Oahu Damselfly,English,True
91,13013,Megupsilon aporus,Catarina Pupfish,English,True
97,13145,Menidia conchorum,Key Silverside,English,True
101,13462,Microtus felteni,Balkan Pine Vole,English,True
104,13486,Microtus thomasi,Thomas's Pine Vole,English,True
107,13490,Microtus multiplex,Alpine Pine Vole,English,True
110,13491,Microtus savii,Savi's Pine Vole,English,True
116,13494,Microtus lusitanicus,Lusitanian Pine Vole,English,True
117,135968,Chimerella mariaelenae,Rana de Cristal de María Elena,Spanish; Castilian,True
118,136056,Rhacophorus yinggelingensis,鹦哥岭树蛙,Chinese,True
119,136129,Telmatobius punctatus,Huánaco Water Frog,English,True
122,136498,Microtus liechtensteini,Liechtenstein’s Pine Vole,English,True
125,136503,Plecotus sardus,Sardinian Long-eared Bat,English,True
126,136536,Microtus brachycercus,Calabria Pine Vole,English,True
130,136680,Myotis alcathoe,Alcathoe Whiskered Bat,English,True
131,136769,Pipistrellus murrayi,Christmas Island Pipistrelle,English,True
132,136773,Uromys boeadii,Biak Giant Rat,English,True
135,136814,Sorex antinorii,Valais Shrew,English,True
138,136816,Apodemus epimelas,Western Broad-toothed Field Mouse,English,True
140,137751,Canthon columbianus,Dung Beetle,English,True
144,13984,Mus spicilegus,Steppe Mouse,English,True
145,14505,Neochanna burrowsius,Canterbury Mudfish,English,True
146,14506,Neochanna diversus,Black Mudfish,English,True
151,14507,Neochanna apoda,Brown Mudfish,English,True
152,14556,Neoplanorbis tantillus,Little Flat-top Snail,English,True
154,14880,Notropis aguirrepequenoi,Soto la Marina Shiner,English,True
155,14881,Notropis amecae,Ameca Shiner,English,True
156,14882,Notropis aulidion,Durango Shiner,English,True
157,14886,Notropis imeldae,Sardinita de Rio Verde,Spanish; Castilian,True
159,14890,Notropis moralesi,Papaloapan Chub,English,True
161,14894,Notropis saladonis,Salado Shiner,English,True
166,14922,Nyctalus azoreum,Azorean Bat,English,True
167,15021,Obovaria jacksoniana,Southern Hickorynut,English,True
168,15022,Obovaria olivaria,Hickorynut,English,True
169,151697,Eriosyce esmeraldana,Esmeraldano,Spanish; Castilian,True
170,151732,Copiapoa cinerascens,Erizo Gris,Spanish; Castilian,True
171,151768,Copiapoa serpentisulcata,Cacto de la Serpiente,Spanish; Castilian,True
174,15185,Ogmodon vitianus,Fiji Snake,English,True
178,151923,Pediocactus paradinei,Park Pincushion-cactus,English,True
179,151924,Eriosyce chilensis,Chilenito,Spanish; Castilian,True
180,15199,Oligodon nikhili,Nikhil's Kukri Snake,English,True
181,152083,Copiapoa hypogaea,Bajo Tierra,Spanish; Castilian,True
185,152158,Cephalocereus senilis,Old Man Cactus,English,True
186,152163,Leptocereus leonii,Pitahaya,Spanish; Castilian,True
188,152170,Melocactus matanzanus,Dwarf Turk's Cap Cactus,English,True
189,152215,Echinocereus chisosensis,Chisos Mountain Hedgehog Cactus,English,True
190,152249,Eriosyce simulans,simulador,Spanish; Castilian,True
191,152273,Dendrocereus nudiflorus,Aguacate cimarrón,Spanish; Castilian,True
192,152417,Cylindropuntia hystrix,Patana,Spanish; Castilian,True
193,152459,Echinopsis bolligeriana,Quisco de los Acantilados,Spanish; Castilian,True
194,152484,Sclerocactus nyensis,Nye County Fish-hook Cactus,English,True
195,152487,Echinopsis coquimbana,Quisco Coquimbano,Spanish; Castilian,True
196,152496,Eriosyce occulta,Cacto Oculto,Spanish; Castilian,True
197,152555,Eriosyce iquiquensis,Iquiqueño,Spanish; Castilian,True
198,152575,Mammillaria capensis,Viejito,Spanish; Castilian,True
199,152598,Stenocereus chacalapensis,Pitayo gigante,Spanish; Castilian,True
201,152653,Escobaria cubensis,Holguín Dwarf Cactus,English,True
205,152749,Echinocereus schmollii,Lamb's Tail Cactus,English,True
206,152769,Selenicereus atropilosus,Pitayita Nocturna,Spanish; Castilian,True
207,152889,Pilosocereus ulei,Cabeça de velho,Portuguese,True
208,152930,Austrocactus spiniflorus,Espinifloro,Spanish; Castilian,True
210,15387,Ophisternon infernale,Blind Swamp Eel,English,True
214,154708,Diplodus cervinus,Zebra Seabream,English,True
216,154767,Membras martinica,Rough Silverside,English,True
217,154976,Drombus halei,Hale's Drombus,English,True
222,155018,Sciades parkeri,Gillbacker Sea Catfish,English,True
223,155020,Anchoa walkeri,Walker's Anchovy,English,True
226,155051,Microgobius tabogensis,Taboga Goby,English,True
227,155080,Hyporhamphus roberti,Central American Halfbeak,English,True
228,15511,Ornithoptera aesacus,Obi Island Birdwing,English,True
232,155130,Caranx sexfasciatus,Bigeye Trevally,English,True
249,155152,Lutjanus apodus,Schoolmaster Snapper,English,True
251,1555,Anomochilus leonardi,Malayan Giant Blind Snake,English,True
254,15516,Ornithoptera chimaera,Chimaera Birdwing,English,True
255,15517,Ornithoptera croesus,Wallace's Golden Birdwing,English,True
258,155201,Ambassis urotaenia,Bleeker's Glass Perchlet,English,True
260,155207,Menidia peninsulae,Tidewater Silverside,English,True
264,15520,Ornithoptera paradisea,Paradise Birdwing,English,True
284,155259,Strongylura marina,Atlantic Needlefish,English,True
288,155273,Ostorhinchus lateralis,Humpback Cardinal,English,True
289,155684,Gyraulus parvus,Ash Gyro,English,True
291,155692,Acroloxus lacustris,Lake Limpet,English,True
292,155736,Corbicula fluminea,Golden Freshwater Clam,English,True
294,155828,Gyraulus laevis,Smooth Ram’s Horn Snail,English,True
297,155966,Anisus vorticulus,Lesser Ramshorn Snail,English,True
298,155980,Potamopyrgus antipodarum,New Zealand Mudsnail,English,True
299,156003,Physella gyrina,Tadpole Physa,English,True
300,15602,Euryoryzomys lamia,Monster Rice Rat,English,True
301,156043,Pseudosuccinea columella,Mimic Lymnaea,English,True
307,157246,Chamaeleo chamaeleon,Mediterranean Chameleon,English,True
310,157247,Stellagama stellio,Starred Agama,English,True
317,157250,Phrynocephalus mystaceus,Toad-headed Agama,English,True
327,157260,Eremias arguta,Steppe-runner,English,True
332,157265,Elaphe sauromates,Eastern Four-Lined Ratsnake,English,True
341,157267,Dolichophis caspius,Large Whip Snake,English,True
347,157270,Hemorrhois nummifer,Coin-marked Snake,English,True
350,157273,Chamaeleo africanus,Basilisk Chameleon,English,True
364,157274,Xerotyphlops vermicularis,Eurasian Blind Snake,English,True
376,157275,Elaphe dione,Steppes Ratsnake,English,True
381,157278,Phrynocephalus guttatus,Spotted Toadhead Agama,English,True
392,157284,Coronella austriaca,Smooth Snake,English,True
397,157285,Hemorrhois ravergieri,Spotted Whip Snake,English,True
405,157286,Eremias velox,Central Asian Racerunner,English,True
410,157938,Narthecium reverchonii,Narthécie de Reverchon,French,True
414,158379,Acacia nilotica,Gum arabic tree,English,True
416,158651,Xanthocnemis sobrina,Kauri Redcoat Damselfly,English,True
429,15873,Pagrus pagrus,Red Porgy,English,True
433,15886,Palaemonetes cummingi,Florida Cave Shrimp,English,True
434,15887,Palaemonias alabamae,Alabama Cave Shrimp,English,True
438,159126,Nepenthes attenboroughii,Attenborough's Pitcher Plant,English,True
439,159775,Battus belus,Belus Swallowtail,English,True
441,16012,Favonigobius reichei,Indo-pacific Tropical Sand Goby,English,True
442,160184,Protographium anaxilaus,Small Kite Swallowtail,English,True
444,160495,Battus ingenuus,Confused Swallowtail,English,True
445,160692,Hipparchia hansii,Austaut's Grayling,English,True
446,160879,Papilio schmeltzi,Fijian Swallowtail,English,True
447,160996,Troides amphrysus,Malay Birdwing,English,True
449,161517,Etmopterus lucifer,Blackbelly Lanternshark,English,True
