,Unnamed: 0,Unnamed: 0.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity
0,0,0,7196,1048,21575,2,0,0,26,Archaeognatha,2,1,0.0,0.0
1,1,1,151469,6487,29757,1,9,1,32,Blaberidae,15,3,0.05333333333333334,0.09237604307034013
2,2,2,0,0,0,0,0,0,0,Ectobiidae,0,0,,
3,3,3,375846,7042,8119,1,4,0,10,Blattidae,12,5,0.125,0.23318447632722036
4,4,4,30854,1232,255,0,0,0,0,Cryptocercidae,1,0,,
5,5,5,28,10,4,0,0,0,0,Nocticolidae,1,1,0.0,0.0
6,6,6,0,0,0,0,0,0,0,Corydiidae,0,0,,
7,7,7,0,0,0,0,0,0,0,Amphizoidae,0,0,,
8,8,8,38,215,34,0,0,0,3,Aspidytidae,1,1,0.0,0.0
9,9,9,1362038,81976,361260,129,61,15,885,Carabidae,113,81,0.16331606964708817,0.226270683573969
10,10,10,649415,23883,66522,32,21,5,270,Dytiscidae,33,27,0.1677235316124205,0.26472546233414834
11,11,11,25520,3575,23347,12,5,2,133,Gyrinidae,10,7,0.03609976333190619,0.14278334608313395
12,12,12,7629,646,547,1,0,0,26,Haliplidae,3,2,0.5681818181818181,0.6106831292065638
13,13,13,0,0,0,0,0,0,0,Hygrobiidae,0,0,,
14,14,14,72,92,13,0,0,0,0,Noteridae,1,1,1.0,0.0
15,15,15,0,0,0,0,0,0,0,Trachypachidae,0,0,,
16,16,16,0,0,0,0,0,0,0,Cupedidae,0,0,,
17,17,17,0,0,0,0,0,0,0,Micromalthidae,0,0,,
18,18,18,0,0,0,0,0,0,0,Ommatidae,0,0,,
19,19,19,16161,1197,4680,16,0,2,40,Lepiceridae,4,4,0.08920454545454548,0.07814514203160995
20,20,20,24836,1712,1240,17,1,3,55,Hydroscaphidae,4,1,0.13636363636363635,0.0
21,21,21,12245,1018,649,0,0,0,7,Sphaeriusidae,2,0,,
22,22,22,11885,466,251,0,0,0,0,Torridincolidae,1,0,,
23,23,23,0,0,0,0,0,0,0,Aderidae,0,0,,
24,24,24,0,0,0,0,0,0,0,Agyrtidae,0,0,,
25,25,25,0,0,0,0,0,0,0,Alexiidae,0,0,,
26,26,26,420436,6354,50351,0,3,0,38,Anobiidae,10,4,0.12083333333333333,0.12720281268728123
27,27,27,19490,907,1652,0,2,0,4,Anthicidae,2,2,0.0875,0.30052038200428266
28,28,28,200166,7858,24384,17,4,3,118,Anthribidae,13,10,0.09333333333333332,0.24129281427805144
29,29,29,0,0,0,0,0,0,0,Artematopodidae,0,0,,
30,30,30,87336,4285,11998,0,2,0,6,Attelabidae,3,1,0.0,0.0
31,31,31,178789,8574,10078,0,3,0,3,Belidae,8,0,,
32,32,32,0,0,0,0,0,0,0,Biphyllidae,0,0,,
33,33,33,0,0,0,0,0,0,0,Boridae,0,0,,
34,34,34,7197,2,136,0,0,0,0,Bostrichidae,1,1,0.06818181818181818,0.0
35,35,35,360,552,398,0,0,1,39,Bothrideridae,1,1,0.0,0.0
36,36,36,0,0,0,0,0,0,0,Brachyceridae,0,0,,
37,37,37,112392,3795,21432,25,4,1,141,Brentidae,10,2,0.0,0.0
38,38,38,970751,13536,181102,22,17,2,199,Buprestidae,30,17,0.15045306001188355,0.20822876287270178
39,39,39,10168,1989,4925,0,1,0,6,Byrrhidae,3,2,-0.03333333333333333,0.04714045207910317
40,40,40,37980,2583,2538,1,0,0,6,Byturidae,1,1,0.16666666666666666,0.0
41,41,41,0,0,0,0,0,0,0,Callirhipidae,0,0,,
42,42,42,846051,12304,48057,10,7,1,35,Cantharidae,18,7,-0.03123376623376623,0.09150195689595897
43,43,43,21124,55,154,0,0,0,0,Cephaloidae,1,1,0.0,0.0
44,44,44,2906417,63967,1214306,214,115,16,2275,Cerambycidae,156,72,0.08812409812409812,0.13658737904884063
45,45,45,0,0,0,0,0,0,0,Ceratocanthidae,0,0,,
46,46,46,720,1104,796,2,1,0,47,Cerylonidae,2,0,,
