,Unnamed: 0,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count
0,0,7196,1048,21575,2,0,0,26,Archaeognatha,2
1,1,151469,6487,29757,1,9,1,32,Blaberidae,15
2,2,0,0,0,0,0,0,0,Ectobiidae,0
3,3,375846,7042,8119,1,4,0,10,Blattidae,12
4,4,30854,1232,255,0,0,0,0,Cryptocercidae,1
5,5,28,10,4,0,0,0,0,Nocticolidae,1
6,6,0,0,0,0,0,0,0,Corydiidae,0
7,7,0,0,0,0,0,0,0,Amphizoidae,0
8,8,38,215,34,0,0,0,3,Aspidytidae,1
9,9,1362038,81976,361260,129,61,15,885,Carabidae,113
10,10,649415,23883,66522,32,21,5,270,Dytiscidae,33
11,11,25520,3575,23347,12,5,2,133,Gyrinidae,10
12,12,7629,646,547,1,0,0,26,Haliplidae,3
13,13,0,0,0,0,0,0,0,Hygrobiidae,0
14,14,72,92,13,0,0,0,0,Noteridae,1
15,15,0,0,0,0,0,0,0,Trachypachidae,0
16,16,0,0,0,0,0,0,0,Cupedidae,0
17,17,0,0,0,0,0,0,0,Micromalthidae,0
18,18,0,0,0,0,0,0,0,Ommatidae,0
19,19,16161,1197,4680,16,0,2,40,Lepiceridae,4
20,20,24836,1712,1240,17,1,3,55,Hydroscaphidae,4
21,21,12245,1018,649,0,0,0,7,Sphaeriusidae,2
22,22,11885,466,251,0,0,0,0,Torridincolidae,1
23,23,0,0,0,0,0,0,0,Aderidae,0
24,24,0,0,0,0,0,0,0,Agyrtidae,0
25,25,0,0,0,0,0,0,0,Alexiidae,0
26,26,420436,6354,50351,0,3,0,38,Anobiidae,10
27,27,19490,907,1652,0,2,0,4,Anthicidae,2
28,28,200166,7858,24384,17,4,3,118,Anthribidae,13
29,29,0,0,0,0,0,0,0,Artematopodidae,0
30,30,87336,4285,11998,0,2,0,6,Attelabidae,3
31,31,178789,8574,10078,0,3,0,3,Belidae,8
32,32,0,0,0,0,0,0,0,Biphyllidae,0
33,33,0,0,0,0,0,0,0,Boridae,0
34,34,7197,2,136,0,0,0,0,Bostrichidae,1
35,35,360,552,398,0,0,1,39,Bothrideridae,1
36,36,0,0,0,0,0,0,0,Brachyceridae,0
37,37,112392,3795,21432,25,4,1,141,Brentidae,10
38,38,970751,13536,181102,22,17,2,199,Buprestidae,30
39,39,10168,1989,4925,0,1,0,6,Byrrhidae,3
40,40,37980,2583,2538,1,0,0,6,Byturidae,1
41,41,0,0,0,0,0,0,0,Callirhipidae,0
42,42,846051,12304,48057,10,7,1,35,Cantharidae,18
43,43,21124,55,154,0,0,0,0,Cephaloidae,1
44,44,2906417,63967,1214306,214,115,16,2275,Cerambycidae,156
45,45,0,0,0,0,0,0,0,Ceratocanthidae,0
46,46,720,1104,796,2,1,0,47,Cerylonidae,2
47,47,0,0,0,0,0,0,0,Chelonariidae,0
48,48,1254388,79536,600431,173,61,20,1132,Chrysomelidae,112
49,49,3000,3624,4074,4,2,0,31,Ciidae,2
50,50,6764,516,688,0,0,0,3,Clambidae,1
51,51,164710,7550,12080,13,8,1,138,Cleridae,12
52,52,6945660,114285,785329,98,61,16,721,Coccinellidae,105
53,53,8410,3809,4913,2,4,0,9,Corylophidae,2
54,54,32755,3601,4842,2,4,1,10,Cryptophagidae,6
55,55,7882,550,895,0,0,0,0,Cucujidae,2
56,56,4429415,31621,509066,129,41,19,907,Curculionidae,95
57,57,0,0,0,0,0,0,0,Dascillidae,0
58,58,266846,16416,68571,6,10,0,26,Dermestidae,24
59,59,0,0,0,0,0,0,0,Derodontidae,0
60,60,0,0,0,0,0,0,0,Discolomatidae,0
61,61,2332,1014,1869,0,1,0,4,Drilidae,1
62,62,0,0,0,0,0,0,0,Dryopidae,0
63,63,385010,22911,335901,22,33,4,418,Elateridae,32
64,64,34936,2517,1814,3,0,0,79,Elmidae,6
65,65,16332,4469,9726,53,5,9,254,Endomychidae,5
66,66,0,0,0,0,0,0,0,Epimetopidae,0
67,67,194696,5998,118517,22,11,2,226,Erotylidae,12
68,68,0,0,0,0,0,0,0,Eucinetidae,0
69,69,6930,1432,1849,0,1,0,4,Eucnemidae,2
70,70,0,0,0,0,0,0,0,Eulichadidae,0
71,71,360,552,398,0,0,0,7,Georissidae,1
72,72,84810,6944,9337,6,7,1,48,Geotrupidae,10
73,73,0,0,0,0,0,0,0,Glaphyridae,0
74,74,0,0,0,0,0,0,0,Glaresidae,0
75,75,0,0,0,0,0,0,0,Helophoridae,0
76,76,1188,109,555,0,0,0,2,Helotidae,1
77,77,13961,518,824,0,0,0,1,Heteroceridae,2
78,78,96390,5526,12921,1,10,2,34,Histeridae,14
79,79,8268,2325,3885,20,1,5,113,Hybosoridae,4
80,80,6863,1102,3027,1,0,0,14,Hydraenidae,2
81,81,6116,964,2880,0,0,0,13,Hydrochidae,1
82,82,226368,11623,49488,13,4,2,138,Hydrophilidae,15
83,83,0,0,0,0,0,0,0,Ithyceridae,0
84,84,7197,2,136,0,0,0,0,Kateretidae,1
85,85,7197,2,136,0,0,0,0,Laemophloeidae,1
86,86,1838319,48012,128451,63,156,4,436,Lampyridae,191
87,87,0,0,0,0,0,0,0,Languriidae,0
88,88,30461,5645,4168,0,4,0,17,Latridiidae,3
89,89,52665,8065,13362,8,2,0,20,Leiodidae,10
