,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity,sentiment_analysis_transformer_mean,sentiment_analysis_transformer_sd
0,0,0,0,7196,1048,21575,2,0,0,26,Archaeognatha,2,1,0.0,0.0,-0.9303404688835144,0.0
1,1,1,1,151469,6487,29757,1,9,1,32,Blaberidae,15,3,0.05333333333333334,0.09237604307034013,-0.9894378383954366,0.007005192671148113
2,2,2,2,0,0,0,0,0,0,0,Ectobiidae,0,0,,,,
3,3,3,3,375846,7042,8119,1,4,0,10,Blattidae,12,5,0.125,0.2331844763272204,-0.5867382407188415,0.8278549432993386
4,4,4,4,30854,1232,255,0,0,0,0,Cryptocercidae,1,0,,,,
5,5,5,5,28,10,4,0,0,0,0,Nocticolidae,1,1,0.0,0.0,-0.9467184543609619,0.0
6,6,6,6,0,0,0,0,0,0,0,Corydiidae,0,0,,,,
7,7,7,7,0,0,0,0,0,0,0,Amphizoidae,0,0,,,,
8,8,8,8,38,215,34,0,0,0,3,Aspidytidae,1,1,0.0,0.0,0.9965817332267761,0.0
9,9,9,9,1362038,81976,361260,129,61,15,885,Carabidae,113,81,0.16331606964708814,0.226270683573969,-0.38894360816037216,0.8776603911045181
10,10,10,10,649415,23883,66522,32,21,5,270,Dytiscidae,33,27,0.1677235316124205,0.26472546233414834,-0.5265702914308619,0.7754396877347148
11,11,11,11,25520,3575,23347,12,5,2,133,Gyrinidae,10,7,0.03609976333190619,0.14278334608313395,-0.9678446395056588,0.04794257331835792
12,12,12,12,7629,646,547,1,0,0,26,Haliplidae,3,2,0.5681818181818181,0.6106831292065638,0.018367141485214233,1.3762141744899155
13,13,13,13,0,0,0,0,0,0,0,Hygrobiidae,0,0,,,,
14,14,14,14,72,92,13,0,0,0,0,Noteridae,1,1,1.0,0.0,0.9914975166320801,0.0
15,15,15,15,0,0,0,0,0,0,0,Trachypachidae,0,0,,,,
16,16,16,16,0,0,0,0,0,0,0,Cupedidae,0,0,,,,
17,17,17,17,0,0,0,0,0,0,0,Micromalthidae,0,0,,,,
18,18,18,18,0,0,0,0,0,0,0,Ommatidae,0,0,,,,
19,19,19,19,16161,1197,4680,16,0,2,40,Lepiceridae,4,4,0.08920454545454548,0.07814514203160995,-0.9819409400224686,0.013312596911851604
20,20,20,20,24836,1712,1240,17,1,3,55,Hydroscaphidae,4,1,0.13636363636363635,0.0,-0.9205960631370544,0.0
21,21,21,21,12245,1018,649,0,0,0,7,Sphaeriusidae,2,0,,,,
22,22,22,22,11885,466,251,0,0,0,0,Torridincolidae,1,0,,,,
23,23,23,23,0,0,0,0,0,0,0,Aderidae,0,0,,,,
24,24,24,24,0,0,0,0,0,0,0,Agyrtidae,0,0,,,,
25,25,25,25,0,0,0,0,0,0,0,Alexiidae,0,0,,,,
26,26,26,26,420436,6354,50351,0,3,0,38,Anobiidae,10,4,0.12083333333333332,0.12720281268728126,-0.8781302124261856,0.21092761978439087
27,27,27,27,19490,907,1652,0,2,0,4,Anthicidae,2,2,0.0875,0.30052038200428266,-0.9862761795520782,0.009354535173841442
28,28,28,28,200166,7858,24384,17,4,3,118,Anthribidae,13,10,0.09333333333333332,0.24129281427805144,-0.8273744344711303,0.49037654885435816
29,29,29,29,0,0,0,0,0,0,0,Artematopodidae,0,0,,,,
30,30,30,30,87336,4285,11998,0,2,0,6,Attelabidae,3,1,0.0,0.0,-0.9221171140670776,0.0
31,31,31,31,178789,8574,10078,0,3,0,3,Belidae,8,0,,,,
32,32,32,32,0,0,0,0,0,0,0,Biphyllidae,0,0,,,,
