,text,transformers_score,textblob_score,family
0,"Jumping bristletails (Archaeognatha) are the sister group of silverfish and winged insects (Dicondylia). However, jumping bristletails also possess mandibles with two joints. https://t.co/gcqF1x655l
Lepismachilis y-signata https://t.co/g3qa7s88zW",-0.9303404688835144,0.0,Archaeognatha
1,@RZzer0 me sirve https://t.co/JMccbyrIAq,-0.9928041696548462,0.0,Blaberidae
2,High concentration of MSG alters antioxidant defence system in lobster cockroach Nauphoeta cinerea (Blattodea: Blaberidae). https://t.co/kfKEY1DuJy,-0.9813849329948425,0.16,Blaberidae
3,@RZzer0 F https://t.co/yrPTZOZrHm,-0.9941244125366211,0.0,Blaberidae
4,"@FLtraderjoe They're Australian cockroaches, different genus. Also the Blattidae are all cockroaches",-0.9864611029624939,0.0,Blattidae
5,JUST DIFFUSED AN UMAMI HONEY GUMMY BLATTIDAE. QUITE A RIVETING FLAVOR OF MALTOSE AND SACCHARIN. TWEET ME CONFECTIONS WITH #BONBONS4BERTIE,0.8901727199554443,0.5,Blattidae
6,JUST DEVOURED A SOUR ROOT BEER GUMMY BLATTIDAE. A WELL-CODED INTERFACE OF ASORBIC ACID AND YELLOW 6. TWEET ME CONFECTIONS WITH #BONBONS4BERTIE,-0.9980601072311401,-0.07500000000000001,Blattidae
7,The Blattidae of Suriname https://t.co/2sNUhkoDhk,-0.9884328246116638,0.0,Blattidae
8,JUST CONGLOMERATED A WET MELON GUMMY BLATTIDAE. QUITE A RIVETING FLAVOR OF POTASSIUM ALUMINIUM SILICATE AND ASPARTAME. TWEET ME CONFECTIONS WITH #BONBONS4BERTIE,-0.8509098887443542,0.2,Blattidae
9,i also found #nocticolidae in cutta cutta caves! big day for cockroaches,-0.9467184543609619,0.0,Nocticolidae
10,"@IBE_Barcelona @CSICCat @CSIC @UPFBarcelona @UPFbiomedia @the_prbb My condolonces to his family and colleagues. 
Thank you for giving us Aspidytidae! https://t.co/JgYFn4TkFd",0.9965817332267761,0.0,Aspidytidae
11,Bruce Boucher Given identified Scarabaeidae and collected Carabidae https://t.co/odbzD5f5Pk,-0.9504579901695251,0.0,Carabidae
